"Family","Genus","epithet","max","q975","n","type","maxF","q975F","nF","typeF","nT","nsap","finalType"
"Fabaceae","Parkia","pendula",29.4,29.145,7,"canopy",36,34,11,"emergent",18,2,"emergent"
"Apocynaceae","Aspidosperma","oblongum",4.2,4.2,1,"understory?",31,31,26,"emergent",27,1,"emergent"
"Caryocaraceae","Caryocar","pallidum",35.3,35.17,14,"emergent",30,28.4,17,"canopy",31,1,"emergent"
"Fabaceae","Parkia","panurensis",23.9,23.205,3,"subcanopy",32,31.775,4,"emergent",7,1,"emergent"
"Fabaceae","Dinizia","excelsa",36.6,33.9,31,"emergent",44,42.95,15,"emergent",46,0,"emergent"
"Lecythidaceae","Cariniana","micrantha",38.7,38.525,8,"emergent",32,31.65,15,"emergent",23,0,"emergent"
"Olacaceae","Minquartia","guianensis",31.7,23,945,"subcanopy",30,25.625,296,"canopy",1241,459,"canopy"
"Malvaceae","Scleronema","micranthum",29.1,22.4,754,"subcanopy",33,26,282,"canopy",1036,254,"canopy"
"Sapotaceae","Pouteria","resinosa",22.9,16.45,196,"subcanopy",28,27.1,19,"canopy",215,121,"canopy"
"Apocynaceae","Geissospermum","argenteum",27.6,24.0425,224,"subcanopy",30,27.05,160,"canopy",384,82,"canopy"
"Chrysobalanaceae","Parinari","montana",9.1,7.875,66,"understory?",28,27.925,4,"canopy",70,56,"canopy"
"Lecythidaceae","Lecythis","prancei",26.4,22.9925,124,"subcanopy",28,25.875,166,"canopy",290,54,"canopy"
"Lecythidaceae","Eschweilera","pseudodecolorans",28.7,25.05,171,"subcanopy",31,28.025,120,"canopy",291,52,"canopy"
"Sapotaceae","Pouteria","hispida",19.5,15.2975,82,"understory?",27,27,39,"canopy",121,51,"canopy"
"Humiriaceae","Endopleura","uchi",23,21.3,76,"subcanopy",27,26.25,16,"canopy",92,43,"canopy"
"Sapotaceae","Chrysophyllum","lucentifolium",21.6,19.7525,48,"subcanopy",27,26.175,12,"canopy",60,37,"canopy"
"Sapotaceae","Pouteria","guianensis",25.6,22.84,53,"subcanopy",30,27.95,83,"canopy",136,32,"canopy"
"Moraceae","Brosimum","parinarioides",19.4,17.265,50,"subcanopy",26,26,25,"canopy",75,27,"canopy"
"Apocynaceae","Aspidosperma","nitidum",30.9,30.445,67,"canopy",-Inf,NA,0,NA,67,23,"canopy"
"Fabaceae","Dipteryx","odorata",25.7,23.02,50,"subcanopy",29,28.425,24,"canopy",74,23,"canopy"
"Combretaceae","Buchenavia","parvifolia",20.2,19.7,41,"subcanopy",29,29,25,"canopy",66,22,"canopy"
"Solanaceae","Duckeodendron","cestroides",30,27.03,28,"canopy",31,30,49,"canopy",77,17,"canopy"
"Lauraceae","Sextonia","rubra",14.4,13.84,29,"understory?",31,30.1,19,"canopy",48,17,"canopy"
"Chrysobalanaceae","Licania","niloi",8.4,8.3,21,"understory?",26,25.75,11,"canopy",32,15,"canopy"
"Moraceae","Brosimum","rubescens",23.8,22.52,45,"subcanopy",27,26.15,75,"canopy",120,15,"canopy"
"Fabaceae","Inga","alba",6.2,5.9075,14,"understory?",27,27,6,"canopy",20,13,"canopy"
"Vochysiaceae","Erisma","bicolor",10.5,10.335,23,"understory?",31,27.025,54,"canopy",77,13,"canopy"
"Sapotaceae","Chrysophyllum","sparsiflorum",7.3,7.0025,18,"understory?",26,25.6,5,"canopy",23,12,"canopy"
"Anacardiaceae","Anacardium","spruceanum",26.9,23.45,24,"subcanopy",26,26,18,"canopy",42,11,"canopy"
"Sapotaceae","Manilkara","cavalcantei",28.6,28.25,29,"canopy",-Inf,NA,0,NA,29,10,"canopy"
"Vochysiaceae","Erisma","fuscum",29,26.9,16,"canopy",30,28.6,8,"canopy",24,9,"canopy"
"Fabaceae","Andira","micrantha",20,19.88,25,"subcanopy",30,28.9,23,"canopy",48,9,"canopy"
"Fabaceae","Tachigali","plumbea",22.6,21.48,15,"subcanopy",29,28.025,40,"canopy",55,6,"canopy"
"Chrysobalanaceae","Licania","unguiculata",27.4,27.015,12,"canopy",25,24.575,18,"subcanopy",30,6,"canopy"
"Sapotaceae","Chrysophyllum","wilsonii",6.6,6.435,7,"understory?",28,28,18,"canopy",25,6,"canopy"
"Malvaceae","Catostemma","albuquerquei",19,18.49,13,"subcanopy",28,26.275,24,"canopy",37,5,"canopy"
"Lecythidaceae","Lecythis","gracieana",7.6,7.6,9,"understory?",27,26.3,8,"canopy",17,5,"canopy"
"Fabaceae","Dipteryx","punctata",13.9,12.99,5,"understory?",30,30,15,"canopy",20,4,"canopy"
"Elaeocarpaceae","Sloanea","eichleri",9.5,9.24,5,"understory?",36,27.675,38,"canopy",43,3,"canopy"
"Chrysobalanaceae","Parinari","parvifolia",3.5,3.49,3,"understory?",26,25.95,2,"canopy",5,3,"canopy"
"Moraceae","Brosimum","acutifolium",22.4,22.13,10,"subcanopy",26,25.7,13,"canopy",23,2,"canopy"
"Lauraceae","Ocotea","cinerea",6.7,6.63,3,"understory?",28,27.35,54,"canopy",57,2,"canopy"
"Vochysiaceae","Qualea","homosepala",20.1,19.32,3,"subcanopy",29,29,8,"canopy",11,2,"canopy"
"Fabaceae","Dipteryx","magnifica",30.3,28.7325,12,"canopy",30,30,19,"canopy",31,2,"canopy"
"Fabaceae","Hymenaea","parvifolia",27.2,26.095,3,"canopy",20,19.475,8,"subcanopy",11,2,"canopy"
"Fabaceae","Pseudopiptadenia","psilostachya",27.6,27.42,13,"canopy",24,24,26,"subcanopy",39,2,"canopy"
"Moraceae","Clarisia","racemosa",30.3,29.46,7,"canopy",31,30.15,18,"canopy",25,2,"canopy"
"Moraceae","Ficus","guianensis",3.9,3.9,1,"understory?",29,28.975,2,"canopy",3,1,"canopy"
"Proteaceae","Panopsis","sessilifolia",23.6,23.09,2,"subcanopy",29,29,8,"canopy",10,1,"canopy"
"Burseraceae","Trattinnickia","burserifolia",29.3,29.01,5,"canopy",19,18.9,2,"subcanopy",7,0,"canopy"
"Vochysiaceae","Ruizterania","cassiquiarensis",30.1,29.3575,10,"canopy",-Inf,NA,0,NA,10,0,"canopy"
"Clusiaceae","Moronobea","coccinea",23.6,23.515,2,"subcanopy",28,28,6,"canopy",8,0,"canopy"
"Lecythidaceae","Cariniana","decandra",20.4,20.375,3,"subcanopy",27,26.65,15,"canopy",18,0,"canopy"
"Loganiaceae","Antonia","ovata",25.9,25.9,1,"canopy",-Inf,NA,0,NA,1,0,"canopy"
"Vochysiaceae","Qualea","paraensis",29.2,28.96,7,"canopy",29,29,29,"canopy",36,0,"canopy"
"Myristicaceae","Osteophloeum","platyspermum",24.2,24.0875,4,"subcanopy",29,28.525,20,"canopy",24,0,"canopy"
"Sapotaceae","Chrysophyllum","pomiferum",24.1,23.635,4,"subcanopy",30,29.15,18,"canopy",22,0,"canopy"
"Lecythidaceae","Lecythis","retusa",26.1,25.835,2,"canopy",17,17,3,"subcanopy",5,0,"canopy"
"Fabaceae","Enterolobium","schomburgkii",16,16,1,"subcanopy",29,28.8,9,"canopy",10,0,"canopy"
"Fabaceae","Pseudopiptadenia","suaveolens",13.3,13.3,1,"understory?",29,28.725,12,"canopy",13,0,"canopy"
