"Family","Genus","epithet","max","q975","n","type","maxF","q975F","nF","typeF","nT","nsap","finalType"
"Fabaceae","Paramachaerium","ormosioides",15.9,15.11,5,"understory?",23,20.95,203,"subcanopy",208,3,"subcanopy"
"Myrtaceae","Eugenia","patrisii",8.7,8.385,4,"understory?",16,16,10,"subcanopy",14,3,"subcanopy"
"Myristicaceae","Iryanthera","polyneura",13.5,12.8925,4,"understory?",17,16.15,18,"subcanopy",22,3,"subcanopy"
"Chrysobalanaceae","Licania","sandwithii",20.8,20.49,32,"subcanopy",21,20,44,"subcanopy",76,3,"subcanopy"
"Fabaceae","Swartzia","tessmannii",8.2,7.9375,4,"understory?",17,17,10,"subcanopy",14,3,"subcanopy"
"Myrtaceae","Eugenia","agathopoda",4.2,4.1825,2,"understory?",17,17,7,"subcanopy",9,2,"subcanopy"
"Vochysiaceae","Ruizterania","albiflora",22.9,22.52,9,"subcanopy",-Inf,NA,0,NA,9,2,"subcanopy"
"Apocynaceae","Aspidosperma","aracanga",25.9,24.825,3,"subcanopy",-Inf,NA,0,NA,3,2,"subcanopy"
"Chrysobalanaceae","Couepia","caryophylloides",12.2,11.845,3,"understory?",21,20,49,"subcanopy",52,2,"subcanopy"
"Fabaceae","Abarema","curvicarpa",20.4,19.655,3,"subcanopy",-Inf,NA,0,NA,3,2,"subcanopy"
"Myrtaceae","Eugenia","cuspidifolia",5.1,5.06,2,"understory?",18,18,11,"subcanopy",13,2,"subcanopy"
"Sapotaceae","Pouteria","durlandii",20.5,19.98,5,"subcanopy",-Inf,NA,0,NA,5,2,"subcanopy"
"Elaeocarpaceae","Sloanea","excelsa",9.3,9.075,3,"understory?",19,18.9,5,"subcanopy",8,2,"subcanopy"
"Fabaceae","Batesia","floribunda",4.5,4.4775,2,"understory?",19,19,7,"subcanopy",9,2,"subcanopy"
"Burseraceae","Protium","heptaphyllum",9.9,9.75,6,"understory?",16,15.75,11,"subcanopy",17,2,"subcanopy"
"Melastomataceae","Mouriri","huberi",20.8,19.69,4,"subcanopy",23,23,8,"subcanopy",12,2,"subcanopy"
"Fabaceae","Swartzia","ingifolia",6.2,6.125,3,"understory?",21,19.625,12,"subcanopy",15,2,"subcanopy"
"Fabaceae","Inga","lateriflora",4,3.9975,2,"understory?",18,18,5,"subcanopy",7,2,"subcanopy"
"Lauraceae","Ocotea","leucoxylon",9.5,9.2075,4,"understory?",19,19,6,"subcanopy",10,2,"subcanopy"
"Humiriaceae","Vantanea","macrocarpa",21.7,20.835,3,"subcanopy",21,20.5,21,"subcanopy",24,2,"subcanopy"
"Quiinaceae","Lacunaria","macrostachya",5.3,5.2575,2,"understory?",17,16.925,4,"subcanopy",6,2,"subcanopy"
"Lauraceae","Ocotea","matogrossensis",7.7,7.51,3,"understory?",25,24.35,14,"subcanopy",17,2,"subcanopy"
"Fabaceae","Inga","melinonis",17.2,16.57,3,"subcanopy",-Inf,NA,0,NA,3,2,"subcanopy"
"Myristicaceae","Virola","mollissima",13,12.79,7,"understory?",18,17.625,16,"subcanopy",23,2,"subcanopy"
"Melastomataceae","Mouriri","nigra",3.6,3.5925,2,"understory?",21,20.725,12,"subcanopy",14,2,"subcanopy"
"Chrysobalanaceae","Licania","occultans",7.4,7.3025,4,"understory?",21,20.675,14,"subcanopy",18,2,"subcanopy"
"Fabaceae","Peltogyne","paniculata",20.9,20.7875,6,"subcanopy",26,23.375,22,"subcanopy",28,2,"subcanopy"
"Fabaceae","Stryphnodendron","paniculatum",4.7,4.6725,2,"understory?",26,25.4,9,"subcanopy",11,2,"subcanopy"
"Fabaceae","Dimorphandra","parviflora",4.5,4.47,2,"understory?",19,19,2,"subcanopy",4,2,"subcanopy"
"Myristicaceae","Virola","pavonis",4.2,4.1825,2,"understory?",23,22.85,7,"subcanopy",9,2,"subcanopy"
"Sapotaceae","Chrysophyllum","sanguinolentum",18,17.07,4,"subcanopy",24,24,56,"subcanopy",60,2,"subcanopy"
"Meliaceae","Trichilia","septentrionalis",9.2,9.17,5,"understory?",16,16,19,"subcanopy",24,2,"subcanopy"
"Sapotaceae","Micropholis","splendens",8.3,8.115,3,"understory?",25,25,1,"subcanopy",4,2,"subcanopy"
"Sapindaceae","Matayba","stenodictya",17.7,17.085,3,"subcanopy",18,17.925,4,"subcanopy",7,2,"subcanopy"
"Sapotaceae","Pouteria","stylifera",5.7,5.69,3,"understory?",25,23.975,42,"subcanopy",45,2,"subcanopy"
"Sapotaceae","Pouteria","transparente",17,16.44,8,"subcanopy",-Inf,NA,0,NA,8,2,"subcanopy"
"Fabaceae","Diplotropis","triloba",13.1,12.675,3,"understory?",23,23,6,"subcanopy",9,2,"subcanopy"
"Fabaceae","Parkia","velutina",22.8,21.795,4,"subcanopy",-Inf,NA,0,NA,4,2,"subcanopy"
"Burseraceae","Protium","amazonicum",7.5,7.4025,2,"understory?",18,18,14,"subcanopy",16,1,"subcanopy"
"Chrysobalanaceae","Licania","apetala",15.9,15.37,5,"understory?",21,21,25,"subcanopy",30,1,"subcanopy"
"Lauraceae","Ocotea","ceanothifolia",11.2,11.035,2,"understory?",22,21.275,30,"subcanopy",32,1,"subcanopy"
"Fabaceae","Sclerolobium","chrysophyllum",20.8,20.72,5,"subcanopy",24,21.975,10,"subcanopy",15,1,"subcanopy"
"Chrysobalanaceae","Hirtella","conduplicata",5.5,5.5,1,"understory?",18,18,3,"subcanopy",4,1,"subcanopy"
"Rubiaceae","Capirona","decorticans",9.9,9.7125,4,"understory?",17,17,1,"subcanopy",5,1,"subcanopy"
"Melastomataceae","Bellucia","dichotoma",7.1,7.0025,2,"understory?",17,16.85,7,"subcanopy",9,1,"subcanopy"
"Fabaceae","Platymiscium","duckei",6.1,6.045,2,"understory?",23,22.125,6,"subcanopy",8,1,"subcanopy"
"Fabaceae","Balizia","elegans",4.8,4.8,1,"understory?",22,21.65,8,"subcanopy",9,1,"subcanopy"
"Moraceae","Helicostylis","elegans",9.3,9.125,6,"understory?",17,16.95,3,"subcanopy",9,1,"subcanopy"
"Fabaceae","Abarema","floribunda",6.3,6.28,2,"understory?",17,16.85,2,"subcanopy",4,1,"subcanopy"
"Euphorbiaceae","Alchorneopsis","floribunda",13,12.945,3,"understory?",22,21.65,8,"subcanopy",11,1,"subcanopy"
"Myrtaceae","Myrciaria","floribunda",3.8,3.8,1,"understory?",18,18,21,"subcanopy",22,1,"subcanopy"
"Malvaceae","Sterculia","frondosa",22.2,20.245,18,"subcanopy",23,23,29,"subcanopy",47,1,"subcanopy"
"Burseraceae","Trattinnickia","glaziovii",5.5,5.5,1,"understory?",21,20.1,13,"subcanopy",14,1,"subcanopy"
"Fabaceae","Ormosia","grandiflora",4.7,4.7,1,"understory?",21,21,1,"subcanopy",2,1,"subcanopy"
"Melastomataceae","Miconia","gratissima",4.2,4.2,1,"understory?",16,15.9,2,"subcanopy",3,1,"subcanopy"
"Fabaceae","Ormosia","grossa",23.6,23.1175,2,"subcanopy",-Inf,NA,0,NA,2,1,"subcanopy"
"Fabaceae","Dialium","guianense",20.6,20.525,6,"subcanopy",21,21,9,"subcanopy",15,1,"subcanopy"
"Combretaceae","Buchenavia","guianensis",3.6,3.6,1,"understory?",17,17,3,"subcanopy",4,1,"subcanopy"
"Lecythidaceae","Couratari","guianensis",9.8,9.675,3,"understory?",25,23.25,11,"subcanopy",14,1,"subcanopy"
"Olacaceae","Dulacia","guianensis",6.6,6.515,2,"understory?",18,18,6,"subcanopy",8,1,"subcanopy"
"Sapindaceae","Toulicia","guianensis",17.3,16.86,3,"subcanopy",16,16,11,"subcanopy",14,1,"subcanopy"
"Fabaceae","Abarema","jupunba",3.9,3.9,1,"understory?",26,24.7,14,"subcanopy",15,1,"subcanopy"
"Meliaceae","Guarea","kunthiana",3.3,3.3,1,"understory?",17,17,14,"subcanopy",15,1,"subcanopy"
"Lecythidaceae","Eschweilera","laevicarpa",18.5,18.25,3,"subcanopy",-Inf,NA,0,NA,3,1,"subcanopy"
"Chrysobalanaceae","Licania","laevigata",17.8,17.2925,8,"subcanopy",13,12.925,4,"understory?",12,1,"subcanopy"
"Sapotaceae","Pouteria","laevigata",13.4,12.8975,4,"understory?",21,21,8,"subcanopy",12,1,"subcanopy"
"Olacaceae","Heisteria","laxiflora",17.2,17.035,12,"subcanopy",19,19,35,"subcanopy",47,1,"subcanopy"
"Elaeocarpaceae","Sloanea","laxiflora",4.5,4.5,1,"understory?",24,24,7,"subcanopy",8,1,"subcanopy"
"Myrtaceae","Calyptranthes","macrophylla",9.1,8.99,2,"understory?",19,18.85,44,"subcanopy",46,1,"subcanopy"
"Annonaceae","Duguetia","megalocarpa",11.5,11.325,3,"understory?",17,17,6,"subcanopy",9,1,"subcanopy"
"Fabaceae","Abarema","microcalyx",4.5,4.5,1,"understory?",23,22.6,3,"subcanopy",4,1,"subcanopy"
"Fabaceae","Dimorphandra","multiflora",7.2,7.1275,2,"understory?",26,24.775,8,"subcanopy",10,1,"subcanopy"
"Fabaceae","Swartzia","oblanceolata",6.6,6.5725,2,"understory?",16,15.625,16,"subcanopy",18,1,"subcanopy"
"Fabaceae","Pterocarpus","officinalis",19.5,19.1,3,"subcanopy",-Inf,NA,0,NA,3,1,"subcanopy"
"Lauraceae","Licaria","pachycarpa",7.9,7.88,3,"understory?",21,19.5,16,"subcanopy",19,1,"subcanopy"
"Fabaceae","Tachigali","paniculata",6.7,6.7,4,"understory?",16,15.55,19,"subcanopy",23,1,"subcanopy"
"Fabaceae","Dicorynia","paraensis",24.5,23.41,5,"subcanopy",-Inf,NA,0,NA,5,1,"subcanopy"
"Malvaceae","Sterculia","parviflora",18.7,17.525,11,"subcanopy",18,18,27,"subcanopy",38,1,"subcanopy"
"Rhizophoraceae","Cassipourea","peruviana",5.7,5.665,2,"understory?",16,16,14,"subcanopy",16,1,"subcanopy"
"Lecythidaceae","Lecythis","pisonis",20.2,19.8325,2,"subcanopy",20,20,1,"subcanopy",3,1,"subcanopy"
"Sapotaceae","Pouteria","platyphylla",3.5,3.5,1,"understory?",19,17.8,25,"subcanopy",26,1,"subcanopy"
"Fabaceae","Stryphnodendron","pulcherrimum",11.1,10.9025,2,"understory?",20,18.75,26,"subcanopy",28,1,"subcanopy"
"Lauraceae","Ocotea","rhynchophylla",8,7.8975,2,"understory?",22,21.125,8,"subcanopy",10,1,"subcanopy"
"Burseraceae","Protium","sagotianum",5.5,5.5,1,"understory?",19,19,36,"subcanopy",37,1,"subcanopy"
"Moraceae","Maquira","sclerophylla",20.6,20.2,6,"subcanopy",26,24,64,"subcanopy",70,1,"subcanopy"
"Euphorbiaceae","Micrandra","siphonioides",16.9,16.37,3,"subcanopy",-Inf,NA,0,NA,3,1,"subcanopy"
"Elaeocarpaceae","Sloanea","synandra",7.8,7.695,2,"understory?",22,21.65,15,"subcanopy",17,1,"subcanopy"
"Combretaceae","Buchenavia","tomentosa",16.7,16.185,3,"subcanopy",20,20,8,"subcanopy",11,1,"subcanopy"
"Urticaceae","Coussapoa","trinervia",23.3,22.73,3,"subcanopy",-Inf,NA,0,NA,3,1,"subcanopy"
"Fabaceae","Andira","unifoliolata",20.5,20.31,3,"subcanopy",24,24,26,"subcanopy",29,1,"subcanopy"
"Sapotaceae","Pradosia","verticillata",20.1,19.0875,4,"subcanopy",14,14,1,"understory?",5,1,"subcanopy"
"Sapindaceae","Matayba","arborescens",6.3,6.3,1,"understory?",20,19.9,2,"subcanopy",3,0,"subcanopy"
"Arecaceae","Oenocarpus","bataua",14.5,14.44,2,"understory?",16,16,15,"subcanopy",17,0,"subcanopy"
"Cardiopteridaceae","Dendrobangia","boliviana",9.6,9.6,1,"understory?",20,19.175,12,"subcanopy",13,0,"subcanopy"
"Myristicaceae","Virola","caducifolia",19.5,19.12,3,"subcanopy",20,19.875,2,"subcanopy",5,0,"subcanopy"
"Hypericaceae","Vismia","cayennensis",9.1,9.1,1,"understory?",16,15.725,12,"subcanopy",13,0,"subcanopy"
"Lecythidaceae","Lecythis","chartacea",22.6,22.6,1,"subcanopy",25,25,12,"subcanopy",13,0,"subcanopy"
"Fabaceae","Inga","cordatoalata",16.6,16.485,3,"subcanopy",15,14.9,3,"understory?",6,0,"subcanopy"
"Sapotaceae","Micropholis","cylindrocarpa",5.7,5.7,1,"understory?",20,18.425,22,"subcanopy",23,0,"subcanopy"
"Melastomataceae","Mouriri","dimorphandra",22.9,22.585,2,"subcanopy",-Inf,NA,0,NA,2,0,"subcanopy"
