plantID,trip,code,genus,epithet,cii,lblade,phylotax,phylotax2,growth,btype,d10,d10h,dbh,dbhh,d1b,s1bh,sh,cmax,cmean,cmin,cd1,cd2,nl,np,lhm,ldm,rhs,rhf,phm,pdm,tl,td,tv,ttype,thm,tdm,il1,il2,il3,il4,il5,tl1,tl2,tl3,tl4,tl5,sf,check.ID.,dbh0,absArea,count,dL,sDens,tdmc,pdmc,ldmc,sla,ls,rgrD,cArea,cTh,RcTh,RcPos,cVol,cVol2,tL,d10c,dbhc,d1bc,d10hc,dbhhc,s1bhc,taper,sVol,sMass,HGE,bM0n,bM1n,rgrBn,LIEn,LUEn,bM0c,bM1c,rgrBc,LIEc,LUEc
41289,1,MINGUI,Minquartia,guianensis,NA,simple,alternate,distic,cont,horizontal,2375,10,1940,-10,1890,5,178,196,121,0,250,120,5,5,1275,622,1300,1857,88,32,133,516,285,branch,350,178,4.9016,4.8009,4.513,5.0456,5.535,2.0661,3.2176,3.9085,3.966,3.4767,no,,11,NA,NA,29.07009956,0.624561404,50.85714286,36.36363636,48.78431373,NA,NA,0.070922224,2.35619449,1.96,58.33333333,77.67857143,4.618141201,1.5393804,68.49480841,23.75,19.4,18.9,0.1,1.3,1.45,-3.605022831,454.8273489,284.0676074,1.14761413,0.213878389,0.823912711,0.168582127,83.1335741,8.906285548,0.148733061,0.669074137,0.254409232,60.1647247,14.44958495
71524,1,AMPLON,Amphirrhox,longifolia,NA,simple,alternate,spiral,rhitmic,vertical,2146,10,1306,-10,1439,-9,133,147,66,10,157,112,5,5,864,347,1300,1912,38,12,124,466,220,branch,249,115,1.4848,2.1325,1.9166,1.9598,1.4704,0.99542,1.3265,1.4992,1.5136,0.72194,no,,15,498.592,5,30.78889701,0.522727273,46.18473896,31.57894737,40.16203704,14.36864553,99.7184,-0.01731201,1.381044131,1.37,47.73519164,71.77700348,1.892030459,0.63067682,42.52082549,21.46,13.06,14.39,0.1,1.3,1.31,-6.411886234,317.0909232,165.7520735,1.671170648,0.447039001,0.321642495,-0.041150647,132.1990288,-2.949060941,0.285098646,0.197437051,0.118098847,57.98145549,10.54197576
71531,1,PROOPA,Protium,opacum,NA,odd-pinnate,alternate,spiral,cont,horizontal,2418,10,1554,-10,1839,-55,103,118,80,-53,120,86,1,1,531,263,1300,1940,123,52,114,388,131,branch,136,53,1.9454,1.9598,2.4924,2.1325,1.6288,1.2977,1.4416,1.0098,1.3121,1.1394,no,,16,374.32,5,33.7840596,0.404580153,38.97058824,42.27642276,49.52919021,14.23269962,74.864,-0.003646422,0.810530905,1.71,66.27906977,85.27131783,1.386007847,0.462002616,27.38302439,24.18,15.54,18.39,0.1,1.3,0.85,-7.253061224,356.645822,144.2918211,1.718739136,0.521158337,0.486245452,-0.008667545,56.31522983,-1.274982799,0.263379608,0.24381646,0.135884546,35.05806951,18.90574993
71571,1,SIPCUS,Siparuna,cuspidata,NA,simple,opposite,distic,cont,arched,1707,10,1215,-10,1301,-15,160,164,103,0,145,122,5,5,239,76,1300,1925,8,3,104,529,204,branch,239,111,3.4856,3.6439,3.0681,2.9818,2.8234,2.3628,1.7007,2.1613,2.4204,2.7803,no,,11,126.021,5,22.98816857,0.544117647,46.44351464,37.5,31.79916318,16.58171053,25.2042,0.012429237,1.389369351,1.64,53.94736842,79.93421053,2.278565736,0.759521912,31.93905685,17.07,12.15,13.01,0.1,1.3,1.25,-3.839421338,221.2247265,120.3722776,2.442422838,0.213878389,0.270903305,0.029544297,117.8983654,1.78542894,0.13000569,0.169440642,0.14578887,76.53098668,8.996172896
71575,1,TAPGUI,Tapura,guianensis,NA,simple,alternate,distic,cont,horizontal,2830,10,1556,-10,2374,-52,115,126,38,-47,156,88,5,5,802,273,1300,2018,28,9,81,506,177,branch,195,85,1.7295,1.8015,2.2333,1.8878,2.3628,0.93785,1.0818,0.98103,1.1681,1.456,no,,13,250.639,5,42.69520076,0.480225989,43.58974359,32.14285714,34.03990025,9.180915751,50.1278,0.02246927,1.078194599,1.73,65.03759398,66.91729323,1.865276656,0.621758885,46.03373485,28.3,15.56,23.74,0.1,1.3,0.88,-10.01456311,513.6976537,246.6909636,1.03773562,0.318141145,0.487734293,0.053409455,94.38281349,3.684105783,0.179543292,0.289198379,0.256132636,33.03779893,26.36810553
71663,1,DUGFLA,Duguetia,flagellaris,NA,simple,alternate,distic,cont,horizontal,1746,90,1464,-10,1487,8,144,161,63,11,118,112,5,5,306,140,1300,2004,12,5,84,421,138,branch,150,62,2.5787,2.809,2.5787,2.3916,2.8234,1.053,1.5136,1.2833,1.2113,0.92345,no,,11,NA,NA,53.02671889,0.449275362,41.33333333,41.66666667,45.75163399,NA,NA,0.035732779,1.037982213,1.5,49.83388704,67.44186047,1.556973319,0.518991106,55.04079101,17.46,14.64,14.87,0.9,1.3,1.48,-4.895612708,154.8313268,69.56190043,3.03326963,0.213878389,0.42195645,0.084936817,130.441876,3.78043371,0.107839652,0.230599524,0.153244555,149.7890519,4.716787495
71685,1,BRORUB,Brosimum,rubescens,NA,simple,alternate,distic,cont,horizontal,1691,10,1279,-10,1579,-35,159,169,111,-33,173,138,5,5,395,185,1300,1959,15,5,108,407,161,branch,175,91,1.6431,1.4272,1.7295,1.7439,1.7583,0.95224,0.96664,1.1106,1.8015,1.2545,no,,13,NA,NA,35.78490893,0.565217391,52,33.33333333,46.83544304,NA,NA,-0.002035718,1.875059575,2.02,65.37216828,81.22977346,3.787620342,1.262540114,67.09883615,16.91,12.79,15.79,0.1,1.3,1.05,-2.80997921,216.3483984,122.2838774,2.445130187,0.318141145,0.306060847,-0.004838901,219.2336488,-0.180037372,0.210494408,0.201577694,0.087085974,158.8205729,3.15933363
71742,1,RINMAC,Rinorea,macrocarpa,NA,simple,alternate,distic,cont,horizontal,2139,10,1714,-10,1346,89,204,234,155,86,192,131,5,5,632,208,1300,1935,26,8,98,387,122,branch,141,68,1.6575,1.4992,2.0318,1.4416,1.8734,1.4272,1.2977,1.6575,1.5712,1.2257,no,,17,401.806,5,13.89441931,0.557377049,48.22695035,30.76923077,32.91139241,19.31759615,80.3612,0.001025196,1.975433461,1.48,39.57219251,78.87700535,2.923641522,0.974547174,27.44750081,21.39,17.14,13.46,0.1,1.3,2.29,-3.618233974,400.0706231,222.9901834,1.632358853,0.601940517,0.613790559,0.002436891,44.71802375,0.431734836,0.422645946,0.431900551,0.075643565,35.45793481,12.80409227
94103,1,DUGFLA,Duguetia,flagellaris,NA,simple,alternate,distic,cont,horizontal,2885,10,1749,-10,1695,13,95,113,66,10,140,104,8,8,1745,8,NA,NA,NA,NA,102,501,205,branch,228,84,9.3021,9.5538,9.5538,9.7189,8.2349,6.7498,5.3036,7.1543,6.1458,6.2886,no,,16,NA,NA,34.1769767,0.409756098,36.84210526,NA,NA,NA,NA,0.011130071,1.143539726,1.03,40.71146245,81.4229249,1.177845918,0.392615306,39.08273057,28.85,17.49,16.95,0.1,1.3,1.53,-8.698400136,490.2784221,200.894573,1.209589669,0.521158337,0.644002967,0.026456178,60.68719025,3.143194651,0.266667751,0.337400041,0.19360373,31.14340899,25.28636208
121409,4,OCOCAN,Ocotea,canaliculata,2,simple,alternate,distic,rhitmic,horizontal,2556,10,2095,-10,1780,106,170,206,143,109,214,125,5,5,1597,593,1011,1849,86,NA,104,622,370,branch,348,155,0.67425,0.73183,0.18487,0.8038,0.71743,0.47274,0.41517,0.44395,0.50153,0.5591,R ,,13,NA,NA,34.10646335,0.418918919,44.54022989,NA,37.13212273,NA,NA,0.059648661,2.100940087,0.97,28.03468208,81.79190751,2.037911884,0.679303961,71.65563608,25.56,20.95,17.8,0.1,1.3,2.46,-3.291315588,513.1113016,214.9520317,1.563139447,0.318141145,0.98907887,0.141784867,72.44683743,9.363362908,0.1571365,0.554655111,0.22286073,76.67888669,10.84845972
121413,4,ANAPAR,Anacardium,parvifolium,1.5,simple,alternate,spiral,cont,up-arched,2921,10,2006,-10,1665,90,280,283,210,107,161,84,5,5,713,335,1011,1856,41,15,103,577,297,branch,339,190,0.89016,0.87576,0.90455,0.96213,1.0341,0.37199,0.58789,0.53032,0.51592,0.64547,R ,,15,439.231,5,41.3719529,0.63973064,56.04719764,36.58536585,46.98457223,13.11137313,87.8462,0.036334698,1.062172476,1.76,41.60756501,82.74231678,1.869423558,0.623141186,43.94414966,29.21,20.06,16.65,0.1,1.3,2.3,-5.772252747,915.8315428,585.8854988,0.704915894,0.447039001,0.892107331,0.086367576,49.25881462,10.12804512,0.347225666,0.747984097,0.219001223,21.94830891,37.66007475
121575,4,SIPDEC,Siparuna,decipiens,1,simple,opposite,distic,cont,horizontal,1654,10,1246,-10,1207,31,126,148,84,0,158,142,10,10,437,153,1011,1845,16,6,98,329,103,branch,125,60,0.24244,0.27123,0.25684,0.27123,0.24244,0.24244,0.18487,0.30002,0.1129,0.1129,R ,yes,10,241.176,10,28.02133624,0.582524272,48,37.5,35.01144165,15.76313725,24.1176,0.027492303,1.762119319,1.48,51.38888889,77.77777778,2.607936593,0.869312198,49.37693794,16.54,12.46,12.07,0.1,1.3,1.71,-2.917146803,183.3494461,106.8055026,2.602862149,0.170520458,0.287622514,0.065349203,171.6727154,2.371594117,0.107732808,0.193659838,0.167184202,120.3147196,6.12969033
121655,4,RINAMA,Rinorea,amapensis,1,simple,opposite,distic,cont,horizontal,1694,10,1249,-10,1061,99,169,171,105,78,172,161,5,5,291,114,1011,2217,6,1,94,500,190,branch,224,120,0.30002,0.25684,0.44395,0.30002,0.28562,0.30002,0.18487,0.22805,0.069719,0.32881,R ,,11,185.032,5,23.98840077,0.631578947,53.57142857,16.66666667,39.17525773,16.23087719,37.0064,0.015879131,2.174924594,0.93,29.90353698,78.77813505,2.022679872,0.674226624,52.17296281,16.94,12.49,10.61,0.1,1.3,2.39,-2.780023373,224.6294155,141.8712098,2.121642583,0.213878389,0.28927134,0.037744695,180.3599446,1.44505788,0.150363892,0.210905699,0.143264875,110.2932123,6.184713999
121664,4,MINGUI,Minquartia,guianensis,1,simple,alternate,distic,cont,horizontal,2075,10,1838,-10,1514,95,235,244,158,93,149,174,5,5,520,239,1011,1945,28,9,98,549,275,branch,335,191,0.40077,0.42956,0.44395,0.40077,0.38638,1.322,0.31441,0.31441,0.41517,0.31441,R ,checked,17,NA,NA,21.5485191,0.694545455,57.01492537,32.14285714,45.96153846,NA,NA,0.009756222,2.036223278,1.51,39.32291667,77.60416667,3.07469715,1.02489905,43.87759621,20.75,18.38,15.14,0.1,1.3,2.35,-2.481065089,411.431646,285.7579796,1.308799847,0.601940517,0.72464577,0.023190539,60.5504069,2.796535432,0.523883911,0.643703601,0.065662959,49.53033692,8.249979109
121694,4,HIRMYR,Hirtella,myrmecophila,1,simple,alternate,distic,cont,horizontal,2280,10,1978,-10,1409,141,283,320,238,125,172,199,5,5,469,222,1011,1939,18,9,112,335,133,branch,160,88,0.38638,0.35759,0.38638,0.41517,0.37199,0.3432,0.25684,0.37199,0.3432,0.27123,R ,,16,NA,NA,11.17552668,0.661654135,55,50,47.3347548,NA,NA,0.026510325,2.688260834,1.95,42.39130435,82.17391304,5.242108626,1.747369542,30.04273068,22.8,19.78,14.09,0.1,1.3,2.81,-3.237468592,562.0673682,371.8941985,1.210021565,0.521158337,0.862792529,0.063015044,34.82034171,11.37160917,0.425678357,0.744918724,0.11662453,27.76276492,21.85037046
121719,4,PROTRI,Protium,trifoliolatum,1.5,odd-pinnate,alternate,distic,cont,horizontal,3869,10,3112,-10,2634,151,393,417,288,152,244,206,3,3,425,223,1011,1920,43,19,101,723,412,branch,496,306,18.959,18.513,18.499,18.931,22.731,9.7906,12.007,9.9201,10.553,11.475,N ,,27,312.707,9,44.25545402,0.742718447,61.69354839,44.18604651,52.47058824,14.02273543,34.74522222,0.017751729,3.947725329,2.65,47.57630162,76.84021544,10.46147212,3.487157374,174.7083767,38.69,31.12,26.34,0.1,1.3,2.91,-4.316099663,2049.593688,1522.27104,0.359331542,1.807707494,2.533562326,0.04219586,68.95759973,4.154665308,1.886038358,2.73202573,0.117044931,36.31679099,16.74012089
